,year,quarter,value
0,2000,1,0.8379999999999999
1,2000,2,0.8899999999999999
2,2000,3,0.9119999999999999
3,2000,4,0.8430000000000001
4,2001,1,0.923
5,2001,2,0.899
6,2001,3,0.929
7,2001,4,0.877
8,2002,1,0.9470000000000001
9,2002,2,0.9550000000000001
10,2002,3,0.964
11,2002,4,0.8719999999999999
12,2003,1,0.9339999999999999
13,2003,2,0.972
14,2003,3,0.974
15,2003,4,0.8599999999999999
16,2004,1,0.909
17,2004,2,0.8919999999999999
18,2004,3,0.9550000000000001
19,2004,4,0.875
20,2005,1,0.9770000000000001
21,2005,2,0.988
22,2005,3,1.01
23,2005,4,0.9119999999999999
24,2006,1,0.98
25,2006,2,0.9870000000000001
26,2006,3,1.0210000000000001
27,2006,4,0.956
28,2007,1,1.059
29,2007,2,1.055
30,2007,3,1.068
31,2007,4,1.141
32,2008,1,1.365
33,2008,2,1.581
34,2008,3,1.6150000000000002
35,2008,4,1.5190000000000001
36,2009,1,1.529
37,2009,2,1.516
38,2009,3,1.546
39,2009,4,1.422
40,2010,1,1.466
41,2010,2,1.442
42,2010,3,1.456
43,2010,4,1.359
44,2011,1,1.479
45,2011,2,1.549
46,2011,3,1.62
47,2011,4,1.5690000000000002
48,2012,1,1.5750000000000002
49,2012,2,1.5470000000000002
50,2012,3,1.5750000000000002
51,2012,4,1.506
52,2013,1,1.5470000000000002
53,2013,2,1.585
54,2013,3,1.5810000000000002
55,2013,4,1.5459999999999998
56,2014,1,1.649
57,2014,2,1.6110000000000002
58,2014,3,1.5710000000000002
59,2014,4,1.5270000000000001
60,2015,1,1.588
61,2015,2,1.548
62,2015,3,1.556
63,2015,4,1.508
64,2016,1,1.556
65,2016,2,1.5750000000000002
66,2016,3,1.6360000000000001
67,2016,4,1.533
68,2017,1,1.5870000000000002
69,2017,2,1.54
70,2017,3,1.529
71,2017,4,1.431
