,year,quarter,beef_price,pork_price,lamb_price
0,2000,1,69.89666666666666,41.139313333333334,76.23666666666666
1,2000,2,71.27333333333333,50.4236,82.06666666666666
2,2000,3,65.89,46.42957333333334,82.79
3,2000,4,72.36999999999999,40.77634333333333,76.50999999999999
4,2001,1,79.21,42.830000000000005,83.62666666666667
5,2001,2,74.69,52.050000000000004,81.52666666666666
6,2001,3,69.50999999999999,51.050000000000004,60.26333333333333
7,2001,4,64.50666666666667,37.300000000000004,62.75666666666666
8,2002,1,69.07000000000001,39.424733333333336,66.61666666666666
9,2002,2,65.65666666666667,35.029133333333334,65.98666666666666
10,2002,3,64.20333333333333,33.85993333333334,74.62333333333333
11,2002,4,69.65333333333332,31.341466666666665,82.02666666666666
12,2003,1,78.65666666666667,35.3794,91.91666666666667
13,2003,2,78.12333333333333,42.638799999999996,93.71
14,2003,3,80.91666666666667,42.90273333333334,88.37666666666667
15,2003,4,96.35000000000001,36.88653333333333,92.82666666666667
16,2004,1,81.41,44.175533333333334,100.62666666666667
17,2004,2,87.36666666666667,54.91046666666667,97.06
18,2004,3,83.97666666666667,56.577933333333334,93.62333333333333
19,2004,4,86.42666666666668,54.350533333333324,95.48333333333333
20,2005,1,89.78000000000002,51.923333333333325,106.10333333333334
21,2005,2,88.80666666666666,52.08613333333333,98.60333333333334
22,2005,3,82.17999999999999,50.51486666666667,92.89999999999999
23,2005,4,90.76333333333334,45.53713333333334,93.44333333333333
24,2006,1,90.36666666666667,42.626466666666666,77.03
25,2006,2,81.36333333333333,48.447799999999994,66.56666666666666
26,2006,3,85.25999999999999,51.827133333333336,81.10000000000001
27,2006,4,87.66333333333334,46.1242,84.52666666666667
28,2007,1,92.04666666666667,46.0354,82.58999999999999
29,2007,2,94.78000000000002,52.55233333333333,82.28333333333333
30,2007,3,92.51666666666667,50.334799999999994,87.33666666666666
31,2007,4,93.18,39.434599999999996,87.55000000000001
32,2008,1,91.22666666666667,39.63686666666666,86.23333333333333
33,2008,2,93.05666666666667,52.50546666666667,79.73333333333333
34,2008,3,98.86333333333333,57.266133333333336,88.82666666666667
35,2008,4,89.56666666666666,41.92346666666666,88.94666666666666
36,2009,1,82.64999999999999,42.11093333333334,90.14333333333333
37,2009,2,84.43666666666667,42.73993333333333,91.44
38,2009,3,83.56666666666668,38.904266666666665,88.35000000000001
39,2009,4,84.37,41.1958,90.46999999999998
40,2010,1,90.40666666666668,50.40633333333333,103.87333333333333
41,2010,2,96.50999999999999,59.59713333333334,106.17333333333333
42,2010,3,95.85666666666667,60.125,115.56666666666666
43,2010,4,101.10666666666667,50.11033333333333,141.62
44,2011,1,110.3,59.937533333333334,174.65666666666667
45,2011,2,112.00999999999999,68.79533333333332,157.98666666666665
46,2011,3,114.17666666666666,71.06466666666667,161.46666666666667
47,2011,4,121.62,64.6612,148.87666666666667
48,2012,1,125.53333333333335,62.66073333333333,145.82333333333332
49,2012,2,120.48666666666666,61.79,127.08333333333333
50,2012,3,119.91333333333334,61.43233333333333,89.27999999999999
51,2012,4,126.10000000000001,58.62773333333334,89.84666666666668
52,2013,1,125.25999999999999,59.0298,107.52499999999999
53,2013,2,124.46999999999998,65.46286666666667,91.72000000000001
54,2013,3,121.61666666666667,70.58613333333334,94.25999999999999
55,2013,4,130.77333333333334,61.10673333333333,150.97333333333336
56,2014,1,145.16666666666666,68.6868,162.75333333333333
57,2014,2,146.26999999999998,85.39846666666666,148.99
58,2014,3,158.55333333333334,83.30426666666666,156.0233333333333
59,2014,4,166.0,66.74306666666666,162.69333333333336
60,2015,1,162.10000000000002,48.467533333333336,147.25
61,2015,2,157.33333333333334,53.20353333333333,144.17
62,2015,3,143.08666666666667,54.58733333333333,146.23333333333332
63,2015,4,130.29999999999998,44.66393333333334,142.51666666666665
64,2016,1,135.47,44.63186666666667,133.50666666666666
65,2016,2,127.83333333333333,53.711666666666666,136.15333333333334
66,2016,3,113.88333333333333,49.25686666666667,137.52
67,2016,4,108.53666666666668,36.9926,131.87666666666667
68,2017,1,122.92666666666668,49.728,138.91
69,2017,2,132.82000000000002,51.7038,153.46
70,2017,3,112.60666666666667,55.5932,143.96
71,2017,4,117.71333333333332,44.81333333333333,131.22333333333333
